,Ticket,Actual EPS,Bloomberg Estimated EPS,Announcement Date,Start,End
97,AXS UN Equity,1.01,1.193,7/26/17,2/2/17,1/17/18
98,AXTA UN Equity,-0.09,0.389,8/3/17,2/10/17,1/25/18
99,AYI UN Equity,1.54,1.834,4/4/17,10/11/16,9/25/17
100,AZO UN Equity,8.29,8.188,2/28/17,9/6/16,8/18/17
101,AZPN UW Equity,0.48,0.463,1/26/17,8/4/16,7/19/17
102,BA UN Equity,2.91,2.299,7/26/17,2/2/17,1/17/18
103,BAC UN Equity,0.47,0.433,7/18/17,1/25/17,1/8/18
104,BAH UN Equity,0.42,0.426,11/2/16,5/13/16,4/27/17
105,BAX UN Equity,0.49,0.567,7/26/17,2/2/17,1/17/18
106,BBT UN Equity,0.78,0.768,7/20/17,1/27/17,1/10/18
107,BBY UN Equity,0.62,0.428,8/23/16,3/3/16,2/14/17
108,BC UN Equity,1.33,1.334,7/27/17,2/3/17,1/18/18
109,BDN UN Equity,0.02,0.016,7/20/17,1/27/17,1/10/18
110,BDX UN Equity,1.61,2.233,5/2/17,11/7/16,10/20/17
111,BEN UN Equity,0.74,0.672,4/28/17,11/3/16,10/18/17
112,BERY UN Equity,0.56,0.651,5/3/17,11/8/16,10/23/17
115,BFAM UN Equity,0.56,0.717,8/1/17,2/8/17,1/23/18
116,BG UN Equity,0.52,0.131,8/2/17,2/9/17,1/24/18
117,BGCP UW Equity,0.18,0.24,7/26/17,2/2/17,1/17/18
119,BHGE UN Equity,0,-0.111,7/28/17,2/6/17,1/19/18
120,BIIB UW Equity,4.07,4.402,7/25/17,2/1/17,1/16/18
121,BIO UN Equity,0.17,0.56,8/3/17,2/10/17,1/25/18
122,BK UN Equity,0.88,0.843,7/20/17,1/27/17,1/10/18
124,BKNG UW Equity,14.66,14.193,8/8/17,2/15/17,1/30/18
125,BKU UN Equity,0.6,0.56,7/26/17,2/2/17,1/17/18
126,BLK UN Equity,5.26,5.382,7/17/17,1/24/17,1/5/18
127,BLL UN Equity,0.28,0.549,8/3/17,2/10/17,1/25/18
128,BLUE UW Equity,-1.73,-1.646,8/2/17,2/9/17,1/24/18
129,BMRN UW Equity,-0.21,0.049,8/2/17,2/9/17,1/24/18
130,BMS UN Equity,0.31,0.553,7/27/17,2/3/17,1/18/18
131,BMY UN Equity,0.56,0.737,7/27/17,2/3/17,1/18/18
132,BOH UN Equity,1.05,1.028,7/24/17,1/31/17,1/12/18
133,BOKF UW Equity,1.35,1.3,7/26/17,2/2/17,1/17/18
134,BPOP UW Equity,0.94,0.915,7/26/17,2/2/17,1/17/18
136,BR UN Equity,0.25,0.377,2/8/17,8/17/16,8/1/17
138,BRKR UW Equity,0.15,0.203,8/3/17,2/10/17,1/25/18
139,BRO UN Equity,0.235,0.238,7/17/17,1/24/17,1/5/18
140,BRX UN Equity,0.25,0.208,7/31/17,2/7/17,1/22/18
141,BSX UN Equity,0.11,0.311,7/27/17,2/3/17,1/18/18
142,BURL UN Equity,0.29,0.296,8/25/16,3/7/16,2/16/17
143,BWA UN Equity,1.01,0.893,7/27/17,2/3/17,1/18/18
144,BWXT UN Equity,0.62,0.474,8/7/17,2/14/17,1/29/18
145,BXP UN Equity,0.87,0.774,8/1/17,2/8/17,1/23/18
146,C UN Equity,1.28,1.208,7/14/17,1/23/17,1/4/18
147,CABO UN Equity,4.91,5.456,8/8/17,2/15/17,1/30/18
148,CACC UW Equity,5.09,4.661,7/31/17,2/7/17,1/22/18
149,CAG UN Equity,0.28,0.454,12/22/16,7/5/16,6/16/17
150,CAH UN Equity,1.02,1.229,2/7/17,8/16/16,7/31/17
151,CASY UW Equity,1.46,1.567,12/7/16,6/17/16,6/1/17
152,CAT UN Equity,1.36,1.248,7/25/17,2/1/17,1/16/18
153,CB UN Equity,2.79,2.463,7/25/17,2/1/17,1/16/18
154,CBOE UF Equity,0.6,0.857,8/4/17,2/13/17,1/26/18
155,CBRE UN Equity,0.6,0.531,7/27/17,2/3/17,1/18/18
156,CBS UN Equity,0.14,0.957,8/7/17,2/14/17,1/29/18
157,CBSH UW Equity,0.680272109,0.632,7/13/17,1/20/17,1/3/18
158,CBT UN Equity,1.169872,0.854,5/1/17,11/4/16,10/19/17
159,CC UN Equity,0.87,0.849,8/2/17,2/9/17,1/24/18
160,CCI UN Equity,0.31,0.276,7/19/17,1/26/17,1/9/18
161,CCK UN Equity,0.95,1.098,7/19/17,1/26/17,1/9/18
162,CCL UN Equity,0.52,0.474,6/22/17,12/29/16,12/12/17
164,CDEV UR Equity,0.09,0.014,8/7/17,2/14/17,1/29/18
165,CDK UW Equity,0.56,0.558,2/2/17,8/11/16,7/26/17
166,CDNS UW Equity,0.25,0.323,7/24/17,1/31/17,1/12/18
167,CDW UW Equity,0.9,1.028,8/3/17,2/10/17,1/25/18
168,CE UN Equity,1.67,1.756,7/24/17,1/31/17,1/12/18
169,CELG UW Equity,1.41,1.775,7/27/17,2/3/17,1/18/18
170,CERN UW Equity,0.54,0.613,7/27/17,2/3/17,1/18/18
171,CF UN Equity,0.01,-0.04,8/2/17,2/9/17,1/24/18
172,CFG UN Equity,0.63,0.594,7/21/17,1/30/17,1/11/18
173,CFR UN Equity,1.3,1.286,7/27/17,2/3/17,1/18/18
174,CFX UN Equity,0.43,0.431,7/28/17,2/6/17,1/19/18
175,CGNX UW Equity,0.165,0.269,7/31/17,2/7/17,1/22/18
176,CHD UN Equity,0.29,0.388,8/3/17,2/10/17,1/25/18
177,CHE UN Equity,-1.35,1.89,7/25/17,2/1/17,1/16/18
178,CHH UN Equity,0.9,0.768,8/2/17,2/9/17,1/24/18
180,CHRW UW Equity,0.79,0.899,7/19/17,1/26/17,1/9/18
181,CHTR UW Equity,0.53,0.768,7/27/17,2/3/17,1/18/18
182,CI UN Equity,3.2,2.477,8/4/17,2/13/17,1/26/18
183,CIM UN Equity,0.56,0.632,8/2/17,2/9/17,1/24/18
184,CINF UW Equity,0.61,0.495,8/2/17,2/9/17,1/24/18
185,CIT UN Equity,0.86,0.591,7/25/17,2/1/17,1/16/18
186,CL UN Equity,0.59,0.721,7/21/17,1/30/17,1/11/18
187,CLGX UN Equity,0.49,0.661,7/25/17,2/1/17,1/16/18
188,CLH UN Equity,0.45,0.256,8/2/17,2/9/17,1/24/18
190,CLR UN Equity,-0.17,-0.007,8/8/17,2/15/17,1/30/18
191,CLX UN Equity,1.16,1.219,2/3/17,8/12/16,7/27/17
192,CMA UN Equity,1.15,1.079,7/18/17,1/25/17,1/8/18
193,CMCSA UW Equity,0.53,0.485,7/27/17,2/3/17,1/18/18
194,CMD UN Equity,0.43,0.497,3/9/17,9/15/16,8/29/17
195,CME UW Equity,1.23,1.205,8/1/17,2/8/17,1/23/18
196,CMG UN Equity,2.33,2.177,7/25/17,2/1/17,1/16/18
197,CMI UN Equity,2.53,2.577,8/1/17,2/8/17,1/23/18
198,CMS UN Equity,0.33,0.389,7/28/17,2/6/17,1/19/18
199,CNA UN Equity,1.01,0.756,7/31/17,2/7/17,1/22/18
200,CNC UN Equity,1.47,1.325,7/25/17,2/1/17,1/16/18
201,CNDT UN Equity,-0.03,0.159,8/9/17,2/16/17,1/31/18
202,CNK UN Equity,0.44,0.46,8/4/17,2/13/17,1/26/18
203,CNP UN Equity,0.31,0.219,8/3/17,2/10/17,1/25/18
204,CNX UN Equity,0.74,0.1,8/1/17,2/8/17,1/23/18
205,COF UN Equity,1.96,1.898,7/20/17,1/27/17,1/10/18
206,COG UN Equity,0.05,0.148,7/27/17,2/3/17,1/18/18
207,COHR UW Equity,1.71,2.445,5/9/17,11/14/16,10/27/17
208,COLM UW Equity,-0.17,-0.205,7/27/17,2/3/17,1/18/18
209,COMM UW Equity,0.29,0.646,8/3/17,2/10/17,1/25/18
210,CONE UW Equity,-0.01,0.073,8/2/17,2/9/17,1/24/18
211,COO UN Equity,2.14,2.25,6/1/17,12/7/16,11/20/17
212,COP UN Equity,-2.78,-0.018,7/27/17,2/3/17,1/18/18
213,COR UN Equity,0.46,0.443,7/27/17,2/3/17,1/18/18
214,COST UW Equity,1.17,1.351,3/2/17,9/8/16,8/22/17
215,COTY UN Equity,0.06,0.34,2/9/17,8/18/16,8/2/17
216,CPA UN Equity,1.49,1.443,8/9/17,2/16/17,1/31/18
217,CPB UN Equity,0.33,0.879,2/17/17,8/26/16,8/10/17
218,CPRT UW Equity,0.29,0.288,2/21/17,8/29/16,8/11/17
219,CPT UN Equity,0.43,0.42,7/27/17,2/3/17,1/18/18
220,CR UN Equity,1.16,1.172,7/24/17,1/31/17,1/12/18
221,CRI UN Equity,0.78,0.705,7/27/17,2/3/17,1/18/18
222,CRL UN Equity,1.13,1.217,8/9/17,2/16/17,1/31/18
223,CRM UN Equity,0.34,0.22,8/31/16,3/11/16,2/23/17
224,CSCO UW Equity,0.47,0.562,2/15/17,8/24/16,8/8/17
225,CSGP UW Equity,0.68,0.626,7/26/17,2/2/17,1/17/18
226,CSL UN Equity,1.59,1.598,7/25/17,2/1/17,1/16/18
227,CSX UW Equity,0.55,0.591,7/18/17,1/25/17,1/8/18
228,CTAS UW Equity,1.32,1.154,12/22/16,7/5/16,6/16/17
229,CTL UN Equity,0.03,0.489,8/2/17,2/9/17,1/24/18
